"fetch_time","day_str","total_presale_wan","index_desc","8/8_类型","8/8_票房(万)","8/8_场次","8/8_人次","8/9_类型","8/9_票房(万)","8/9_场次","8/9_人次","8/10_类型","8/10_票房(万)","8/10_场次","8/10_人次","8/11_类型","8/11_票房(万)","8/11_场次","8/11_人次"
"2026-08-06 21:52:32","映前5天","497.8","点映及预售总票房497.8万","","","","","","","","","","","","","","","",""
"2026-08-06 22:02:00","映前5天","502.7","点映及预售总票房502.7万","","","","","","","","","","","","","","","",""
"2026-08-06 22:30:00","映前5天","525.7","点映及预售总票房525.7万","","","","","","","","","","","","","","","",""
"2026-08-06 22:50:40","映前5天","555.3","点映及预售总票房555.3万","","","","","","","","","","","","","","","",""
"2026-08-06 23:00:29","映前5天","565.1","点映及预售总票房565.1万","","","","","","","","","","","","","","","",""
"2026-08-06 23:01:02","映前5天","565.5","点映及预售总票房565.5万","","","","","","","","","","","","","","","",""
"2026-08-06 23:41:00","映前5天","588.5","点映及预售总票房588.5万","","","","","","","","","","","","","","","",""
"2026-08-07 00:00:10","映前4天","599.1","点映及预售总票房599.1万","","","","","","","","","","","","","","","",""
"2026-08-07 00:21:00","映前4天","605.7","点映及预售总票房605.7万","","","","","","","","","","","","","","","",""
"2026-08-07 00:27:02","映前4天","602.3","点映及预售总票房602.3万","","","","","","","","","","","","","","","",""
"2026-08-07 00:30:00","映前4天","608.6","点映及预售总票房608.6万","","","","","","","","","","","","","","","",""
"2026-08-07 01:00:10","映前4天","615.4","点映及预售总票房615.4万","","","","","","","","","","","","","","","",""
"2026-08-07 01:29:02","映前4天","618.1","点映及预售总票房618.1万","","","","","","","","","","","","","","","",""
"2026-08-07 01:45:00","映前4天","619.5","点映及预售总票房619.5万","","","","","","","","","","","","","","","",""
"2026-08-07 02:00:09","映前4天","621.0","点映及预售总票房621.0万","","","","","","","","","","","","","","","",""
"2026-08-07 02:07:00","映前4天","621.8","点映及预售总票房621.8万","","","","","","","","","","","","","","","",""
"2026-08-07 02:27:57","映前4天","623.3","点映及预售总票房623.3万","","","","","","","","","","","","","","","",""
